,Index,Frequency (Hz),Z' (Ω),-Z'' (Ω),Z (Ω),-Phase (°),Time (s)
252,9,15849.0,52.8254499135758,1.61531162933783,52.850140872391,1.75146088474651,1859.03762130638
253,10,12589.0,52.9548988498418,1.87182244539411,52.9879706297954,2.02441880330762,1861.53567030007
254,11,10000.0,53.0822384557455,2.17257391309957,53.1266798970208,2.34371953043974,1864.27371929316
255,12,7943.3,53.2536605862095,2.53505261037354,53.3139649394844,2.72541358503637,1866.99677128629
256,13,6309.6,53.4020253223458,2.97355000889304,53.4847483698283,3.18707222869057,1869.89482427897
257,14,5011.9,53.6257625243668,3.51261618831361,53.7406817858332,3.74765737542882,1872.86287927148
258,15,3981.1,53.8381348501672,4.15130642940249,53.9979454166137,4.40919114335456,1875.84593226394
259,16,3162.3,54.0726830771775,4.92994184651743,54.2969555479396,5.2093972305243,1878.90899125621
260,17,2511.9,54.4002121981909,5.8785321029709,54.7169098807111,6.16749756036597,1882.05204724828
261,18,1995.3,54.7137899956483,7.03103404249656,55.1637041486034,7.32270206533134,1885.2501072402
262,19,1584.9,55.0702622449606,8.42421820700276,55.7108717947218,8.69723877988252,1888.20316423275
263,20,1258.9,55.4200613753633,10.1633128101279,56.344264394218,10.391826684923,1891.57622622423
264,21,1000.0,55.852715241599,12.2694729163283,57.1844888540911,12.3896829467958,1894.61928021655
265,22,794.33,56.2784823269863,14.9119070176249,58.2205508727906,14.8404283769144,1898.16734620759
266,23,630.96,56.7770371617248,18.1839995793903,59.6178646847331,17.7587197890764,1901.50040819917
267,24,501.19,57.3215067669289,22.2887509432736,61.5023865930612,21.2479475040396,1904.79347019086
268,25,398.11,57.9141071812428,27.4130867991607,64.0743407180971,25.3300850013462,1907.99152918278
269,26,316.23,58.6580996861493,33.8896835405327,67.744249270825,30.0171496212075,1911.35459317429
270,27,251.19,59.5866645470229,41.9646668027488,72.8807508997071,35.1556090623118,1914.83265716551
271,28,199.53,60.8586916655835,52.139330015619,80.1391919457902,40.5875811410404,1918.30072115676
272,29,158.49,62.6687834476715,64.9372788656741,90.2453688855527,46.0184588518735,1924.25983114171
273,30,125.89,65.1698162024214,80.7978753935111,103.804631938863,51.1111042509819,1927.80289713277
274,31,100.0,68.9224813147716,100.599955968959,121.945313856423,55.5843944638986,1931.5909671232
275,32,79.433,74.5361726779395,125.109713533204,145.629946981505,59.214931978831,1935.40403511357
276,33,63.096,83.0652041791118,155.175155629604,176.008968720317,61.8398729990175,1939.46711310332
277,34,50.119,95.1035649136412,192.465450779302,214.680315359753,63.7044946864047,1943.78019409243
278,35,39.811,113.749095389578,236.408059570349,262.350199793644,64.305199236024,1948.12827108145
279,36,31.623,140.610437801639,288.39925544877,320.851095934194,64.0082301352898,1952.08634707146
280,37,25.119,180.311788796391,347.458135470721,391.458167731552,62.5731535748065,1956.21442106103
281,38,19.953,236.020713013045,412.114834893842,474.915165172439,60.1999663237511,1961.23751604835
282,39,15.849,310.80486617503,476.707937443933,569.078309602577,56.8963841026045,1966.24560803571
283,40,12.589,407.928892035773,533.822145172854,671.842290745739,52.6141565494142,1978.20683000551
284,41,10.0,521.440290266416,576.776745389495,777.54188976236,47.8845538468603,1988.0720129806
285,42,7.9433,648.741370391534,596.280955376637,881.144904883618,42.5872051928491,1993.67011396647
286,43,6.3096,778.670546182646,591.731054548647,977.994611646524,37.2321025339967,1999.48822395178
287,44,5.0119,898.960061234074,563.265802126019,1060.84756470411,32.0702250802087,2005.49633693661
288,45,3.9811,1002.7249942974,517.234911867706,1128.26830507797,27.2860087377453,2011.34944492183
